#ENERGY    ERROR     
-0.443227  0.00248335
-0.443156  0.002482  
-0.443133  0.00247974
-0.442941  0.0024848 
-0.442963  0.00248254
-0.443014  0.00248069
-0.442965  0.00247882
-0.442937  0.00247663
-0.442892  0.00247469
-0.44289   0.00247236
-0.442961  0.00247104
-0.442953  0.00246872
-0.442975  0.00246649
-0.443069  0.00246598
-0.443036  0.00246387
-0.44293   0.00246386
-0.442915  0.00246159
-0.443062  0.00246368
-0.443115  0.00246195
-0.443086  0.00245982
-0.442982  0.00245973
-0.442882  0.00245947
-0.442702  0.00246375
-0.442786  0.00246287
-0.442765  0.00246066
-0.442755  0.00245839
-0.442819  0.00245693
-0.442781  0.00245494
-0.44284   0.00245337
-0.44285   0.00245111
-0.44289   0.00244917
-0.442907  0.00244696
-0.442938  0.00244489
-0.442854  0.00244405
-0.442775  0.00244308
-0.442738  0.00244111
-0.442609  0.00244226
-0.442657  0.00244048
-0.442601  0.00243888
-0.442682  0.00243797
-0.442674  0.00243574
-0.442714  0.00243384
-0.442626  0.0024332 
-0.442526  0.00243302
-0.442505  0.00243089
-0.442433  0.00242973
-0.442361  0.00242857
-0.442362  0.00242635
-0.442342  0.00242423
-0.442335  0.00242203
-0.442349  0.00241986
-0.442321  0.00241782
-0.442295  0.00241577
-0.442292  0.00241358
-0.442282  0.00241141
-0.442301  0.00240929
-0.442276  0.00240724
-0.44219   0.00240659
-0.442228  0.00240471
-0.442293  0.00240341
-0.442188  0.00240354
-0.44224   0.00240193
-0.442259  0.00239985
-0.442286  0.00239783
-0.442289  0.00239568
-0.442275  0.00239357
-0.442322  0.00239189
-0.442335  0.00238978
-0.44235   0.00238769
-0.442322  0.00238571
-0.442261  0.00238437
-0.4422    0.002383  
-0.442183  0.00238094
-0.442171  0.00237884
-0.44217   0.00237672
-0.442168  0.00237461
-0.44221   0.00237287
-0.442232  0.00237086
-0.442308  0.00236999
-0.442355  0.00236835
-0.442309  0.0023667 
-0.4423    0.00236462
-0.442257  0.00236291
-0.442314  0.00236151
-0.442297  0.00235949
-0.44237   0.00235854
-0.442375  0.00235647
-0.442346  0.00235458
-0.442436  0.00235426
-0.44246   0.00235231
-0.442444  0.0023503 
-0.442411  0.00234848
-0.442479  0.00234741
-0.442518  0.00234568
-0.442502  0.00234369
-0.442503  0.00234164
-0.44246   0.00233999
-0.442354  0.00234033
-0.442333  0.00233839
